"Property","Height","Weight","Age"
"MEN",185,82,38
"MEN",187,84,32
"MEN",190,84,20
"MEN",182,73,22
"MEN",186,77,26
"MEN",176,69,27
"MEN",186,75,24
"MEN",170,68,35
"MEN",187,84,22
"MEN",185,78,31
"MEN",181,76,24
"MEN",189,87,33
"MEN",178,76,28
"MEN",175,64,29
"MEN",177,68,30
"MEN",180,72,25
"MEN",174,68,26
"MEN",177,74,26
"MEN",176,66,28
"MEN",167,64,24
"MEN",177,69,23
"MEN",173,71,26
"MEN",170,63,26
"MEN",182,71,31
"MEN",180,75,25
"OLYM",187,86,22
"OLYM",190,84,20
"OLYM",189,91,19
"OLYM",185,78,31
"OLYM",181,76,24
"OLYM",186,75,24
"OLYM",189,87,33
"OLYM",171,70,23
"OLYM",187,84,22
"OLYM",182,73,22
"OLYM",190,80,24
"OLYM",183,72,21
"OLYM",178,76,28
"OLYM",173,67,20
"OLYM",167,64,24
"OLYM",172,70,23
"OLYM",178,71,24
"OLYM",166,69,24
"OLYM",177,69,23
"OLYM",173,67,23
"OLYM",182,76,23
"OLYM",178,74,24
"WOM",168,60,29
"WOM",170,67,26
"WOM",168,65,21
"WOM",164,57,25
"WOM",164,53,24
"WOM",160,47,25
"WOM",165,53,26
"WOM",160,52,23
"WOM",172,62,22
"WOM",169,67,21
"WOM",169,55,24
"WOM",158,50,31
"WOM",158,55,27
"WOM",160,53,22
"WOM",158,52,25
"WOM",154,44,26
"WOM",162,52,24
"WOM",160,48,21
"WOM",169,62,31
"WOM",164,56,27
"WOM",160,51,24
"WOM",166,58,25
"WOM",162,53,22
