Property,Position,Height,Weight,Age
MEN,GK,185,82,38
MEN,GK,187,84,32
MEN,GK,190,84,20
MEN,DF,182,73,22
MEN,DF,186,77,26
MEN,DF,176,69,27
MEN,DF,186,75,24
MEN,DF,170,68,35
MEN,DF,187,84,22
MEN,DF,185,78,31
MEN,DF,181,76,24
MEN,DF,189,87,33
MEN,MF,178,76,28
MEN,MF,175,64,29
MEN,MF,177,68,30
MEN,MF,180,72,25
MEN,MF,174,68,26
MEN,MF,177,74,26
MEN,MF,176,66,28
MEN,MF,167,64,24
MEN,MF,177,69,23
MEN,MF,173,71,26
MEN,FW,170,63,26
MEN,FW,182,71,31
MEN,FW,180,75,25
OLYM,GK,187,86,22
OLYM,GK,190,84,20
OLYM,GK,189,91,19
OLYM,DF,185,78,31
OLYM,DF,181,76,24
OLYM,DF,186,75,24
OLYM,DF,189,87,33
OLYM,DF,171,70,23
OLYM,DF,187,84,22
OLYM,DF,182,73,22
OLYM,DF,190,80,24
OLYM,DF,183,72,21
OLYM,MF,178,76,28
OLYM,MF,173,67,20
OLYM,MF,167,64,24
OLYM,MF,172,70,23
OLYM,MF,178,71,24
OLYM,MF,166,69,24
OLYM,MF,177,69,23
OLYM,FW,173,67,23
OLYM,FW,182,76,23
OLYM,FW,178,74,24
WOM,GK,168,60,29
WOM,GK,170,67,26
WOM,GK,168,65,21
WOM,DF,164,57,25
WOM,DF,164,53,24
WOM,DF,160,47,25
WOM,DF,165,53,26
WOM,DF,160,52,23
WOM,DF,172,62,22
WOM,DF,169,67,21
WOM,DF,169,55,24
WOM,MF,158,50,31
WOM,MF,158,55,27
WOM,MF,160,53,22
WOM,MF,158,52,25
WOM,MF,154,44,26
WOM,MF,162,52,24
WOM,MF,160,48,21
WOM,FW,169,62,31
WOM,FW,164,56,27
WOM,FW,160,51,24
WOM,FW,166,58,25
WOM,FW,162,53,22
