"","Year","Prefs","PrefsJP","総人口","総人口.男.","総人口.女.","日本人人口","日本人人口.男.","日本人人口.女.","X15歳未満人口","X15歳未満人口.男.","X15歳未満人口.女.","X15.64歳人口","X15.64歳人口.男.","X15.64歳人口.女.","X65歳以上人口","X65歳以上人口.男.","X65歳以上人口.女.","出生数","出生数.男.","出生数.女.","合計特殊出生率","死亡数","死亡数.男.","死亡数.女.","転入者数.日本人移動者.","転入者数.日本人移動者..男.","転入者数.日本人移動者..女.","転出者数.日本人移動者.","転出者数.日本人移動者..男.","転出者数.日本人移動者..女.","婚姻件数","離婚件数","年平均気温","最高気温.日最高気温の月平均の最高値.","最低気温.日最低気温の月平均の最低値.","降水日数.年間.","降水量.年間.","着工建築物数","着工建築物床面積","旅館営業施設数.ホテルを含む.","旅館営業施設客室数.ホテルを含む.","標準価格.平均価格..住宅地.","標準価格.平均価格..商業地.","幼稚園数","幼稚園教員数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","中学校卒業者数","中学校卒業者のうち進学者数","高等学校数","高等学校教員数","高等学校生徒数","高等学校卒業者数","高等学校卒業者のうち進学者数","短期大学数","大学数","短期大学教員数","大学教員数","短期大学学生数","大学学生数","短期大学卒業者数","短期大学卒業者のうち進学者数","大学卒業者数","大学卒業者のうち進学者数","専修学校数","各種学校数","専修学校生徒数","各種学校生徒数","新規求職申込件数.一般.","月間有効求職者数.一般.","月間有効求人数.一般.","充足数.一般.","就職件数.一般.","一般旅券発行件数","着工新設住宅戸数","着工新設持家数","着工新設貸家数","着工新設分譲住宅数","着工新設住宅床面積","着工新設持家床面積","着工新設分譲住宅床面積","着工新設貸家床面積","ごみ総排出量.総量.","X1人1日当たりの排出量","ごみのリサイクル率","一般病院数","一般診療所数","歯科診療所数","保育所等数","保育所等定員数","保育所等利用待機児童数","保育所等在所児数","保育所等保育士数","消費支出.二人以上の世帯.","食料費.二人以上の世帯.","住居費.二人以上の世帯.","光熱.水道費.二人以上の世帯.","家具.家事用品費.二人以上の世帯.","被服及び履物費.二人以上の世帯.","保健医療費.二人以上の世帯.","交通.通信費.二人以上の世帯.","教育費.二人以上の世帯.","教養娯楽費.二人以上の世帯.","その他の消費支出.二人以上の世帯."
"1",2019,"R01000","北海道",5250000,2472000,2778000,5211000,2455000,2756000,565000,289000,276000,3012000,1484000,1528000,1673000,699000,973000,31020,15988,15032,1.24,65498,33134,32364,47737,28614,19123,55467,31526,23941,23417,9833,9.8,26.5,-5.9,131,814,21463,4943285,2863,115751,19200,83700,404,4914,45449,1027,19145,239792,595,11679,124575,42181,40456,277,10337,123112,39976,19067,15,37,296,6683,4705,78612,2294,330,16702,2128,164,49,24958,3564,185269,696218,851537,39557,40059,119613,32486,11821,15625,4707,2776067,1444004,465364,843404,1850519,960,23.2,484,3397,2884,1020,82008,152,76397,9837,294682,72912,20862,26332,9895,10466,16466,42277,8848,29335,57289
"13",2019,"R02000","青森県",1246000,585000,661000,1240000,583000,657000,133000,68000,65000,699000,348000,351000,415000,170000,245000,7170,3682,3488,1.38,18424,9286,9138,16527,9920,6607,22874,12731,10143,4601,2009,11.4,29.8,-3.1,140,1093,6699,1094701,630,19987,16200,33700,88,654,4877,282,4677,56886,160,3030,31052,10757,10541,76,2993,33653,11314,5272,5,10,125,1382,1053,15344,475,10,3429,258,28,11,2227,219,50947,185486,211089,16102,17067,17318,5922,3764,1372,687,626521,470898,68697,81834,469430,1003,14.3,77,877,520,480,35388,0,33675,3114,243609,66593,14278,28089,10404,7237,10276,37287,5095,20596,43755
"25",2019,"R03000","岩手県",1227000,592000,635000,1219000,589000,631000,137000,70000,67000,684000,350000,334000,406000,172000,234000,6974,3582,3392,1.35,17826,8816,9010,16555,9818,6737,21223,11429,9794,4489,1754,11.3,30.5,-4.9,107,1029.5,7455,1218348,811,22164,24800,45100,92,671,6351,312,4821,57949,162,2956,30973,10610,10392,80,2988,32580,10876,4910,5,6,84,1402,782,11362,392,64,2341,355,35,7,4813,368,45373,166513,206990,16570,17530,19305,7862,3797,3124,922,689789,453514,91196,143029,420164,927,17.6,76,879,576,382,31491,175,30017,3734,295396,75776,14899,27385,10945,10431,13890,44216,10722,27779,59354
"37",2019,"R04000","宮城県",2306000,1127000,1179000,2283000,1116000,1167000,272000,139000,132000,1382000,702000,680000,652000,286000,367000,14947,7745,7202,1.23,25202,12769,12433,44379,25499,18880,47462,27296,20166,10073,3780,13.6,30,-0.9,97,1389.5,12033,2361249,757,34768,40300,240100,238,2357,27006,383,7913,115630,207,4851,58332,19756,18972,94,4562,58803,19203,9584,5,14,169,5012,2537,49121,997,12,10819,1510,65,23,16063,1884,67927,274060,439819,20438,20159,52670,16427,5062,6975,4320,1364710,623390,432945,302252,819659,977,14.8,112,1671,1061,481,40320,583,38790,6205,276204,77920,17579,23460,10631,11222,12791,33403,10218,27726,51256
"49",2019,"R05000","秋田県",966000,454000,512000,963000,453000,509000,95000,48000,46000,512000,257000,255000,359000,149000,211000,4696,2403,2293,1.33,15784,7629,8155,10570,6115,4455,14764,7911,6853,3161,1278,12.9,30.5,-1.8,151,1566.5,5140,775613,545,15729,13300,24800,39,392,2516,195,3248,41381,114,2225,22634,7760,7576,54,2086,23102,7814,3511,4,7,57,1023,579,8940,281,23,2006,315,19,2,1454,13,35124,127375,172966,13057,13556,13020,4250,2705,1005,518,432013,329011,52063,49434,359010,994,15.2,52,802,436,277,27066,65,24532,2973,261579,69080,11716,26180,8617,8500,11282,40526,9193,23380,53105
"61",2019,"R06000","山形県",1078000,520000,558000,1070000,517000,552000,123000,63000,60000,594000,302000,293000,360000,155000,205000,6401,3284,3117,1.4,15719,7602,8117,12196,7030,5166,16739,8942,7797,4014,1433,12.8,32,-2.9,131,1261.5,6324,1004369,807,20253,19600,40800,72,761,6489,249,3957,52034,99,2332,27938,9577,9445,61,2507,29251,9791,4515,3,6,86,1062,1161,11767,537,74,2691,488,22,5,1964,119,39466,141315,203011,14447,14933,19616,5697,2804,1894,974,552052,357444,101936,90092,364842,922,14.4,54,919,483,288,26343,45,25425,4067,306269,77343,16543,30221,11306,9940,12455,53295,12377,25959,56830
"73",2019,"R07000","福島県",1846000,914000,931000,1831000,908000,923000,211000,108000,103000,1053000,549000,504000,582000,257000,325000,11552,5793,5759,1.47,25004,12471,12533,23344,14116,9228,30269,17025,13244,7510,2985,14,32.2,-1.5,109,1462.5,11095,1996925,1521,42549,23700,45900,242,1874,19282,440,6814,87730,230,4304,48183,16533,15696,110,4049,49425,16479,7540,5,8,140,1530,1707,14215,825,44,2930,195,54,12,5999,427,62291,226410,339694,20678,21433,34314,11294,5369,3451,2428,1082112,664940,257137,155885,720595,1035,12.7,103,1346,853,375,32569,274,32198,4551,275991,72397,11712,24701,10266,9849,11340,41880,8375,25873,59599
"85",2019,"R08000","茨城県",2860000,1427000,1433000,2810000,1401000,1408000,342000,175000,166000,1676000,871000,804000,843000,380000,463000,18004,9239,8765,1.39,33440,17473,15967,44371,25895,18476,48876,27605,21271,12270,4664,14.9,31.5,-2.5,102,1391,16916,3336726,941,28652,32500,65300,258,2040,22983,480,9650,141811,224,5881,73968,25321,24352,122,5717,75540,24636,12645,3,10,50,3172,765,29715,368,1,6578,1502,63,12,9504,654,65176,258916,384397,16961,17932,78271,17765,9149,5093,3469,1725714,1086574,378113,257092,1051103,985,20.8,153,1749,1403,606,62031,345,57940,6677,286734,71054,13394,22506,10649,9531,15243,45498,13836,28948,56074
"97",2019,"R09000","栃木県",1934000,964000,970000,1906000,951000,955000,235000,121000,114000,1146000,595000,550000,554000,248000,306000,12608,6535,6073,1.39,22138,11236,10902,30136,17483,12653,33654,18654,15000,8572,3181,14.9,32.4,-2.8,120,1867.5,11383,2114148,1413,35790,32600,66400,87,1266,12597,360,7028,99301,164,4115,52085,17560,16652,75,3642,52182,17259,8953,6,9,150,4108,1739,20033,831,103,4160,400,57,20,8420,824,54888,228072,303391,14800,15734,49042,12251,6440,2902,2851,1238347,776242,304545,152576,660826,917,16.1,88,1460,984,434,41140,52,38509,5079,297811,76015,15809,23405,10286,8982,14028,55910,10706,26235,56435
"109",2019,"R10000","群馬県",1942000,962000,981000,1886000,932000,955000,232000,119000,113000,1131000,585000,546000,580000,257000,322000,11901,6048,5853,1.4,23254,11896,11358,26218,15384,10834,30302,17034,13268,8238,3142,15.7,33.3,-0.4,103,1447.5,11954,2149528,1175,30070,30100,60700,139,1359,11099,312,6858,98773,168,4052,51794,17591,17120,79,3734,51371,16930,8979,8,14,158,1774,1800,27774,904,77,6097,596,69,22,10479,1498,46349,181006,266297,12629,13205,49251,11608,6169,2710,2645,1168498,727478,289665,146975,713518,989,14.7,117,1551,984,450,45308,21,44654,3944,267624,72610,10408,19330,10194,9399,13749,41335,6493,26200,57907
